skill_id,skill_name,category,scope_h1,scope_h2,scope_llm,procedural_h1,procedural_h2,procedural_llm,analytical_h1,analytical_h2,analytical_llm,orchestration_h1,orchestration_h2,orchestration_llm,compliance_h1,compliance_h2,compliance_llm,documentation_h1,documentation_h2,documentation_llm,explicitness_h1,explicitness_h2,explicitness_llm,documentation_quality_h1,documentation_quality_h2,documentation_quality_llm,tacit_dependency_h1,tacit_dependency_h2,tacit_dependency_llm,context_sensitivity_h1,context_sensitivity_h2,context_sensitivity_llm,codifiability_score_h1,codifiability_score_h2,codifiability_score_llm,codifiability_rationale_h1,codifiability_rationale_h2,codifiability_rationale_llm,coordination_burden_h1,coordination_burden_h2,coordination_burden_llm,evaluation_type_h1,evaluation_type_h2,evaluation_type_llm,output_verifiability_h1,output_verifiability_h2,output_verifiability_llm,tests_quality_h1,tests_quality_h2,tests_quality_llm,thresholds_quality_h1,thresholds_quality_h2,thresholds_quality_llm,error_handling_h1,error_handling_h2,error_handling_llm,evaluability_score_h1,evaluability_score_h2,evaluability_score_llm,evaluability_rationale_h1,evaluability_rationale_h2,evaluability_rationale_llm,requires_memory_h1,requires_memory_h2,requires_memory_llm,requires_tools_h1,requires_tools_h2,requires_tools_llm,requires_external_services_h1,requires_external_services_h2,requires_external_services_llm,provenance_clarity_h1,provenance_clarity_h2,provenance_clarity_llm,maintenance_signals_h1,maintenance_signals_h2,maintenance_signals_llm,safety_notes_h1,safety_notes_h2,safety_notes_llm,scope_limits_h1,scope_limits_h2,scope_limits_llm,coding_status_h1,coding_status_h2,coding_status_llm,audit_confidence_h1,audit_confidence_h2,audit_confidence_llm,coding_notes_h1,coding_notes_h2,coding_notes_llm,codifiability_score_h2_provided,evaluability_score_h2_provided
BS02,pricing-strategy,business-strategy,multi_step_workflow,end_to_end_process,single_bounded_task,2,2,2,3,3,4,1,1,1,0,1,0,0,1,1,3,3,3,3,3,3,4,2,3,2,1,2,2,3,2,,,"SKILL.md provides a clear structured workflow for gathering inputs (Business Context, Value & Competition, Current Performance, Goals) and then applying pricing frameworks (three axes, value metrics, tiering, research methods), plus checklists and task-specific questions. However, it leaves key decisions (e.g., selecting the right metric/tier/price points) to expert judgement without concrete decision rules or worked examples, and it assumes access to org-specific context files like `.agents/product-marketing.md`, making execution somewhat context-bound.",2,2,2,hybrid,hybrid,holistic,2,2,1,0,0,0,2,2,1,1,0,0,1,1,1,,,"The artefact offers heuristics and a checklist, but no explicit acceptance criteria for a ""correct"" pricing strategy, no tests, and no validation procedure beyond general guidance (e.g., signals like conversion >40% and churn <3% monthly for considering price raises). As a result, outputs are mainly assessed via human judgement and business outcomes rather than deterministic checks.",0,0,0,0,0,0,0,0,0,2,2,3,1,0,2,0,0,0,2,1,1,complete,partial,complete,3,2,4,,,"Provenance/maintenance evidenced via frontmatter metadata including `version: 2.0.0` and named skill; no author/license info in SKILL.md. Some quantitative heuristics appear only for ""when to raise prices"" (conversion/churn), not general evaluation thresholds.",3,1
BS09,planning-under-uncertainty,business-strategy,multi_step_workflow,multi_step_workflow,multi_step_workflow,1,2,2,4,4,4,0,1,1,0,0,0,0,1,1,2,3,3,2,3,3,4,3,3,1,0,1,2,3,3,,,"SKILL.md provides a clear 4-step interaction flow (understand uncertainty type, assess horizon, match framework, build adaptation mechanisms) plus concrete prompts and common mistakes, making the core guidance fairly executable. However, applying the frameworks requires substantial judgement (e.g., selecting an approach based on an ""uncertainty profile"" and defining decision criteria/triggers), and the artefact is more advisory than fully specified procedure; it is also mostly portable across orgs with only general product/AI context assumptions.",2,2,2,holistic,holistic,holistic,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,,,"The output is primarily strategic guidance and questioning; correctness is largely subjective and context-dependent, with no tests, rubrics, or measurable acceptance criteria in SKILL.md. There are some implied criteria (e.g., having checkpoints, buffers, pivot signals), but no explicit pass/fail thresholds or validation process is specified.",0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,1,0,2,2,1,complete,partial,complete,2,2,3,,,"Evidence includes the explicit 'How to Help' 1–4 steps, the 'Questions to Help Users' prompt list, and 'Common Mistakes to Flag'. Provenance is limited to frontmatter name/description and a pointer to `references/guest-insights.md` (not inspected here). No explicit out-of-scope/escalation guidance beyond general applicability; no evaluation or error-handling sections.",3,0
CC03,programmatic-seo,content-creation,multi_step_workflow,end_to_end_process,multi_step_workflow,3,3,3,3,2,3,1,2,2,1,1,1,0,1,1,3,3,3,2,3,3,3,2,2,2,1,2,2,3,3,,,"SKILL.md provides a fairly complete end-to-end framework (initial assessment questions, core principles, playbook selection tables, and an implementation framework with steps from keyword research through indexation strategy) plus concrete checklists and an explicit output format (strategy document + page template). However, execution still depends on tacit SEO judgement (e.g., assessing competitiveness, intent match, and what counts as “unique value”/“thin content”) and on the user’s specific site/stack and data sources, making it moderately context-sensitive.",3,3,2,hybrid,hybrid,hybrid,2,2,2,0,0,0,2,2,1,1,1,1,1,1,1,,,"Evaluation is partly checkable via the pre-launch checklist items (e.g., unique titles/meta, heading structure, schema markup, sitemap/noindex consistency) and post-launch monitoring metrics (indexation rate, rankings, traffic), but no concrete pass/fail thresholds are specified beyond qualitative terms like “page speed acceptable.” There are no tests or validation scripts referenced, and failure handling is limited to general “watch for” issues (thin content warnings, manual actions, crawl errors) without recovery procedures.",0,0,0,0,0,0,0,0,0,2,2,3,1,0,2,0,1,2,2,1,1,complete,partial,complete,3,2,3,,,"Version metadata present (version: 2.0.0) and internal reference to references/playbooks.md; no explicit tooling/API requirements stated in SKILL.md. Safety/limitations appear as guidance to avoid Google penalties and thin content, but without detailed escalation or remediation steps.",3,1
CC09,video,content-creation,end_to_end_process,end_to_end_process,end_to_end_process,2,3,3,2,1,2,3,3,3,0,1,0,0,0,1,3,2,3,4,2,4,3,3,2,2,1,2,3,2,3,,,"SKILL.md provides a structured workflow with concrete steps (e.g., “Product Demo Video” and “Explainer Video” numbered sequences) plus tool-selection tables and an agent-native pipeline diagram, making the main flow fairly executable. It also includes substantial supporting material (model/tool comparisons, prompt template, common mistakes, and integration links), but execution still depends on user-specific creative choices (e.g., selecting approach, style, platform fit) and on the user’s stack/assets/API keys, which are gathered via questions.",3,3,3,holistic,holistic,holistic,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,,,"The artefact offers guidance and checklists (e.g., “Common Mistakes,” aspect ratio norms, and prompting do/don’t), but it does not define acceptance criteria, tests, or measurable thresholds for a “good” final video. As a result, output quality is largely judged subjectively (fit to goal/platform, perceived professionalism), with no visible validation or failure/recovery procedures.",0,0,0,1,1,1,1,1,1,2,2,3,1,0,2,0,0,1,3,1,2,complete,partial,complete,4,2,4,,,"Evidence: version metadata (2.0.1); explicit preflight step to read product-marketing context file; includes npm install hyperframes and Remotion scaffold command; multiple external services referenced (HeyGen MCP, Veo/Sora/Runway/Kling etc.) implying API keys/paid tools; evaluation guidance is advisory only (no tests/thresholds). Safety/limitations are light (e.g., AI text-in-video unreliability, hallucinated locations, uncanny valley). Scope boundaries present via “Related Skills” routing (social/ad-creative/copywriting) but no escalation rules.",2,0
CT02,gws-gmail,communication-tools,micro_task,single_bounded_task,multi_step_workflow,3,4,4,0,0,1,1,2,3,1,1,2,0,2,1,2,3,3,2,3,3,0,1,2,4,3,3,2,3,2,,,"The SKILL.md provides a clear invocation pattern (`gws gmail <resource> <method> [flags]`) plus a concrete discovery workflow using `gws gmail --help` and `gws schema gmail.<resource>.<method>` to determine required params and build `--params`/`--json`. However, core execution depends on external prerequisite guidance in `../gws-shared/SKILL.md` (auth, global flags, security rules) and on Gmail API method semantics, making successful use somewhat context-bound and requiring implicit API familiarity.",1,1,2,unclear,objective,none_visible,2,3,2,0,0,0,0,1,0,0,1,0,1,1,1,,,"Outputs are partially verifiable (e.g., whether a Gmail API call returns expected JSON or changes mailbox state), but the artefact provides no explicit acceptance criteria, tests, or validation steps beyond inspecting schemas. No failure-mode or recovery guidance is included in this SKILL.md (it defers security/auth rules to the shared prerequisite).",0,0,0,1,1,1,1,1,1,2,2,3,2,0,2,0,1,2,2,1,1,partial,partial,complete,3,2,3,,,Requires `gws` binary (metadata.requires.bins) and interacts with Gmail (external service). Safety/security guidance is referenced via prerequisite shared SKILL.md but not visible here; coded safety_notes conservatively as present via explicit prerequisite mention. No explicit out-of-scope boundaries beyond general prerequisite reference.,2,1
CT10,speakturbo-tts,communication-tools,single_bounded_task,single_bounded_task,single_bounded_task,3,4,4,0,0,0,2,1,2,1,1,0,0,1,0,4,3,4,3,3,4,1,1,0,3,2,2,3,3,4,,,"SKILL.md provides highly executable CLI procedures (Quick Start, First Run, Usage) with concrete commands, flags, expected outputs (e.g., `ls -lh test.wav  # Should show ~50-100KB file`) and operational details (daemon warm/cold behavior, port 7125, exit codes). Supporting material is extensive: voice table, performance metrics, architecture diagram, troubleshooting steps with expected health-check JSON, and config file format for allowlisted output directories. Transferability is somewhat context-bound due to reliance on local audio playback and a local HTTP daemon on `127.0.0.1:7125`, plus OS-specific playback commands (afplay/aplay).",2,1,2,objective,objective,objective,4,4,3,1,0,0,2,2,2,3,1,3,3,2,2,,,"Outputs are reasonably verifiable via deterministic checks described in the doc: saving a WAV and checking file size (~50–100KB), querying `curl http://127.0.0.1:7125/health` with an expected JSON shape, and using exit codes (0/1). There are no formal tests mentioned, but there are partial thresholds/expectations (latency ranges, first-run 2–5s, file size) and concrete troubleshooting/recovery actions (check port with `lsof`, restart via `pkill`, view logs).",0,0,0,1,1,1,0,0,0,2,2,2,1,0,0,2,1,2,3,2,3,complete,partial,complete,2,2,4,,,Requires local CLI + daemon and local audio stack; no external API/credentials evidenced. Safety/limitations mainly via output path allowlist and config guidance; no broader risk notes. Provenance in SKILL.md limited to name/description frontmatter; no author/version/license info visible.,3,2
DM04,gws-sheets,document-management,micro_task,single_bounded_task,single_bounded_task,3,4,4,0,0,1,1,1,3,1,1,1,0,2,0,2,3,3,3,3,3,2,1,2,4,3,3,2,3,2,,,"SKILL.md provides a clear CLI invocation pattern (`gws sheets <resource> <method> [flags]`), a structured list of resources/methods, and a concrete discovery workflow using `gws sheets --help` and `gws schema sheets.<resource>.<method>` to construct `--params`/`--json`. However, execution depends on external prerequisite documentation for auth/security rules (`../gws-shared/SKILL.md`) and on the Google Sheets API semantics, making it context-bound and requiring some implicit judgement when mapping desired operations to resource/method/parameters.",1,1,2,unclear,objective,none_visible,2,3,2,0,0,0,0,2,0,0,2,1,1,2,1,,,"The artefact describes API methods and notes one failure behavior for `batchUpdate` (invalid request causes whole request to fail), but it does not specify acceptance criteria, tests, or validation steps for outputs. Outputs are partially verifiable in principle (e.g., by re-reading sheet values), yet no such verification procedure is included in SKILL.md.",0,0,0,1,1,1,1,1,1,2,2,3,2,0,2,0,1,2,2,1,1,partial,partial,complete,2,2,3,,,Evidence: frontmatter includes name/description/version (0.22.5) and requires `gws` binary; prerequisite points to shared SKILL.md for auth/security rules (counted as safety notes but details not visible here). No explicit install command shown in SKILL.md. Scope treated as single bounded task: a generic interface to Sheets API calls rather than an end-to-end business process.,2,2
DM06,convert-plaintext-to-md,document-management,single_bounded_task,single_bounded_task,single_bounded_task,3,4,4,0,1,2,1,0,2,1,2,1,4,3,4,3,3,4,3,3,4,1,1,1,1,0,1,3,3,4,,,"SKILL.md provides a concrete command signature with parameters/options (e.g., `finalize`, `guide #file:{{reference-file}}`, `platform={{name}}`, `--header`, `--pattern`, `--stop`, `pre=<name>`) and explicit operational rules (e.g., if `{{file}}.md` exists treat it as source; else create by copying). Multiple worked examples show expected transformations and how to apply options, reducing tacit know-how; remaining judgement is mainly in applying “markdown best practices” and pattern detection.",2,1,2,holistic,objective,holistic,2,3,2,0,0,0,1,2,0,0,1,1,1,2,1,,,"The artefact includes goals like preserving technical content and ensuring correct markdown structure, plus examples of before/after conversions, but it does not define deterministic acceptance checks, tests, or pass/fail thresholds. Some aspects are checkable (markdown renders; formatting conventions), yet overall quality (“readable and well-organized”, “best practices”) remains largely subjective and no explicit failure/recovery procedures are specified beyond a general “when in doubt…source the Reference URLs”.",0,0,0,0,0,1,0,0,0,1,2,2,0,0,0,1,0,2,2,2,2,complete,partial,complete,2,3,4,,,Requires tool use via explicit instruction to use `#tool:fetch` for Reference URLs; no other external services/credentials indicated. Safety/limitations: notes about not stopping on documented `exit()`/`quit()` procedures and “Do not change the data unless prompt instructions clearly…specify”. Provenance limited to frontmatter name/description; no version/author/license in SKILL.md.,3,2
ET05,academic-writing,education-and-training,end_to_end_process,end_to_end_process,end_to_end_process,4,2,3,3,3,3,1,2,2,3,2,3,3,3,2,3,3,3,4,4,4,3,2,2,2,0,1,3,3,3,,,"SKILL.md provides extensive, reusable templates and checklists (e.g., FINER criteria, systematic literature search steps, IMRaD section guidance, response-to-reviewers and cover-letter templates, ethics and LLM disclosure checklists), making the know-how highly externalized. However, many steps still require domain judgement (e.g., selecting inclusion/exclusion criteria, interpreting reviewer feedback, choosing journals/OA routes), and some guidance is advisory rather than executable instructions, keeping tacit dependence moderate. The content is largely portable across disciplines with only minor context assumptions (common databases/tools and policy references like Plan S/OSTP).",2,3,3,hybrid,hybrid,hybrid,2,2,2,0,0,0,2,2,1,1,0,1,1,1,1,,,"The artefact offers some checkable criteria and constraints (e.g., FINER checklist, reproducibility test for Methods, ethics/LLM disclosure checklists, and concrete prohibitions like fabricated citations), but it does not define formal acceptance tests or measurable thresholds for most outputs (paper quality, literature review completeness, journal fit). As a result, evaluation is partly criteria-based but still largely dependent on human scholarly judgement and peer review, with no explicit test suite or validation procedure described.",0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,3,2,3,2,2,1,complete,partial,complete,3,2,3,,,"Rich SKILL.md with many templates/checklists across research design, writing, peer review, grants, publishing/OA, ethics, and LLM-use disclosure. No explicit tool/API requirements are stated as required (tools/services are listed as options), so requires_tools/external_services coded 0. Some compliance content is present (IRB, COPE/ICMJE, Plan S/OSTP), but no explicit escalation/out-of-scope rules beyond general cautions to verify policies.",3,1
ET09,freecodecamp-curriculum,education-and-training,end_to_end_process,end_to_end_process,end_to_end_process,4,3,4,1,1,1,3,2,3,2,2,1,1,2,3,4,1,4,4,1,4,1,3,1,4,4,3,3,1,3,,,"SKILL.md provides step-by-step, command-level procedures for local setup (fork/clone, pnpm install, env vars, seed, develop), curriculum authoring (file format, helper scripts, ID generation), and contribution workflow, plus concrete code/config templates (YAML challenge example, Fastify route, React page, Playwright test). Tacit judgement is limited (mostly choosing correct directories/IDs), but transferability is constrained by strong dependence on the freeCodeCamp monorepo structure and specific stack (Node 20+, pnpm, MongoDB, GitHub OAuth, Gatsby/Fastify).",3,3,3,objective,unclear,objective,3,1,3,3,0,4,2,0,3,3,0,3,3,0,3,,,"The artefact includes explicit validation and testing commands with clear pass/fail semantics (e.g., `pnpm run test:curriculum`, Jest unit tests, Playwright e2e) and shows how challenge tests are written using assertions, making outputs largely verifiable. Troubleshooting sections enumerate common failure modes (MongoDB connection, port conflicts, validation failures) with concrete recovery steps, though acceptance thresholds beyond test pass/fail are not extensively parameterised.",0,0,0,1,1,1,1,0,1,3,2,3,2,1,0,1,0,0,3,0,1,complete,insufficiently_evidenced,complete,2,1,4,,,"Requires external services/credentials via GitHub OAuth (`GITHUB_ID`, `GITHUB_SECRET`) and optionally SendGrid; also depends on MongoDB (local or Atlas). Strong repo-specific paths and scripts indicate high context sensitivity. Provenance via named skill header and author link ('Skill by ara.so') but no explicit version/license/changelog in SKILL.md.",1,0
FA03,stock-analysis,financial-analysis,end_to_end_process,multi_step_workflow,end_to_end_process,4,2,3,3,4,4,3,2,3,1,1,1,0,0,1,3,2,4,3,1,3,1,3,2,3,2,2,3,2,3,,,"SKILL.md provides concrete, executable commands for stock/crypto analysis and portfolio CRUD (e.g., `uv run {baseDir}/scripts/analyze_stock.py AAPL`, `portfolio.py create/add/show/update/remove`) plus clear input constraints (ticker-only, with correct/incorrect examples) and defined output modes (text vs JSON). However, parts of the workflow depend on implicit finance judgement (interpreting BUY/HOLD/SELL and risk flags) and on the availability/behavior of external data sources (Yahoo Finance, Google News RSS), making it somewhat context- and data-dependent despite strong procedural specification.",3,2,3,objective,unclear,hybrid,3,1,2,0,0,0,2,0,3,3,1,3,2,1,2,,,"The artefact defines multiple explicit decision thresholds and rules (e.g., earnings <14 days flips BUY→HOLD; post-earnings spike >15% in 5 days; RSI >70; VIX >30; risk-off triggers with GLD/TLT/UUP 5-day changes), which makes parts of the output checkable, but the overall recommendation remains partly judgement-based and data-quality dependent. No tests or validation harness are described in SKILL.md, but error handling is specified (invalid tickers, missing analyst data, retries with exponential backoff, fail after 3 attempts).",1,1,1,1,0,1,1,1,1,2,1,3,1,0,2,3,2,3,3,1,3,complete,insufficiently_evidenced,complete,1,1,4,,,"Requires `uv` (metadata requires bins:[""uv""]) and uses external data/services: Yahoo Finance plus Google News RSS; portfolio state persisted at `~/.clawdbot/skills/stock-analysis/portfolios.json` (memory/state across runs). Versioning visible (v5.0; mentions v4.0.0 features). Safety/limits include data staleness, missing data, US-only, and explicit 'not financial advice' disclaimer; no explicit unit/integration tests mentioned.",2,0
