skill_id,skill_name,category,scope_h1,scope_h2,scope_llm,procedural_h1,procedural_h2,procedural_llm,analytical_h1,analytical_h2,analytical_llm,orchestration_h1,orchestration_h2,orchestration_llm,compliance_h1,compliance_h2,compliance_llm,documentation_h1,documentation_h2,documentation_llm,explicitness_h1,explicitness_h2,explicitness_llm,documentation_quality_h1,documentation_quality_h2,documentation_quality_llm,tacit_dependency_h1,tacit_dependency_h2,tacit_dependency_llm,context_sensitivity_h1,context_sensitivity_h2,context_sensitivity_llm,codifiability_score_h1,codifiability_score_h2,codifiability_score_llm,codifiability_rationale_h1,codifiability_rationale_h2,codifiability_rationale_llm,coordination_burden_h1,coordination_burden_h2,coordination_burden_llm,evaluation_type_h1,evaluation_type_h2,evaluation_type_llm,output_verifiability_h1,output_verifiability_h2,output_verifiability_llm,tests_quality_h1,tests_quality_h2,tests_quality_llm,thresholds_quality_h1,thresholds_quality_h2,thresholds_quality_llm,error_handling_h1,error_handling_h2,error_handling_llm,evaluability_score_h1,evaluability_score_h2,evaluability_score_llm,evaluability_rationale_h1,evaluability_rationale_h2,evaluability_rationale_llm,requires_memory_h1,requires_memory_h2,requires_memory_llm,requires_tools_h1,requires_tools_h2,requires_tools_llm,requires_external_services_h1,requires_external_services_h2,requires_external_services_llm,provenance_clarity_h1,provenance_clarity_h2,provenance_clarity_llm,maintenance_signals_h1,maintenance_signals_h2,maintenance_signals_llm,safety_notes_h1,safety_notes_h2,safety_notes_llm,scope_limits_h1,scope_limits_h2,scope_limits_llm,coding_status_h1,coding_status_h2,coding_status_llm,audit_confidence_h1,audit_confidence_h2,audit_confidence_llm,coding_notes_h1,coding_notes_h2,coding_notes_llm,codifiability_score_h2_provided,evaluability_score_h2_provided
FA08,technical-analysis,financial-analysis,single_bounded_task,multi_step_workflow,unclear,1,1,1,4,4,4,1,1,1,1,1,0,0,1,0,2,2,1,1,2,2,4,4,4,1,1,2,2,2,1,,,"SKILL.md is dominated by persona/identity, principles, and domain beliefs (e.g., “Backtest Before Trust”, “Context Over Pattern”) rather than a step-by-step method an agent can execute, so core instructions remain vague. It does provide some supporting structure via the “Reference System Usage” section that points to specific repo files (patterns/sharp_edges/validations) as sources of truth, but those referenced procedures/rules are not included in the provided text, leaving substantial tacit judgement about how to perform TA and validate signals.",1,2,1,holistic,hybrid,none_visible,1,2,1,0,0,0,0,1,0,0,1,0,0,1,0,,,"No explicit acceptance criteria, thresholds, or test/validation procedures are specified in SKILL.md beyond a general instruction to consult `references/validations.md`; without those rules visible here, outputs (TA judgments) are largely subjective and only loosely checkable. The text contains cautionary principles (e.g., skepticism about retail TA) but does not define measurable pass/fail conditions or error-recovery steps.",0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1,2,1,1,2,0,partial,partial,partial,2,2,2,,,"Evidence is mainly identity/persona plus high-level principles; actionable workflow steps are not specified. SKILL.md references `references/patterns.md`, `references/sharp_edges.md`, and `references/validations.md` as strict sources of truth, but their contents are not provided in the excerpt, limiting codifiability/evaluability assessment. Coded scope as unclear because no concrete task boundary or deliverable format is defined.",2,1
PM07,product-manager-toolkit,project-management,end_to_end_process,end_to_end_process,end_to_end_process,3,3,3,2,3,3,2,2,2,0,1,1,1,2,2,3,3,3,4,4,4,3,2,3,2,0,2,3,3,3,,,"SKILL.md provides concrete workflows (prioritization, discovery, PRD) and runnable CLI examples for scripts (e.g., `python scripts/rice_prioritizer.py features.csv --capacity 20`, interview analyzer), plus embedded frameworks/templates (RICE formula, interview guide, PRD template descriptions), making the know-how substantially externalized. However, several steps require human judgement and organizational context (e.g., scoring Reach/Impact/Confidence, “validate against strategy,” stakeholder alignment, and interpreting interview insights), and the “Integration Points” imply dependence on existing PM tool ecosystems.",2,3,3,hybrid,hybrid,hybrid,1,2,2,0,1,0,2,2,1,0,1,0,1,2,1,,,"Some outputs are partially checkable (e.g., RICE score computation and structured outputs like text/json/csv are in principle verifiable), and PRDs call for “clear acceptance criteria” and success metrics, but SKILL.md does not specify concrete pass/fail thresholds or provide tests/validation procedures for the scripts. Interview analysis and PRD quality remain largely judgement-based despite suggested metrics and best practices.",0,0,0,1,1,1,0,0,0,2,2,3,0,0,1,1,0,2,2,1,3,complete,partial,complete,2,2,3,,,"Evidence includes YAML frontmatter (name/source/date_added/risk), multiple detailed sections with templates and command examples. No explicit test suite, error modes, or acceptance thresholds beyond general guidance (e.g., include acceptance criteria; limitations advise expert review). External services are mentioned only as potential integration points, not as required dependencies/credentials.",3,2
PM10,evaluating-candidates,project-management,multi_step_workflow,multi_step_workflow,multi_step_workflow,2,2,3,4,3,4,0,1,2,1,0,1,1,1,1,2,3,3,2,3,3,4,3,3,1,0,2,2,3,2,,,"SKILL.md provides a clear interaction procedure (""How to Help"" steps 1–4) plus a sizable set of named principles and diagnostic questions, making the main flow reusable. However, applying the principles (e.g., assessing ""world-class strength,"" ""person-product fit,"" and interpreting reference checks) requires substantial human judgement and role-specific context, and the artefact does not provide concrete rubrics/templates beyond suggestions, limiting full execution reliability.",2,2,2,holistic,holistic,holistic,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,"The skill’s outputs are advisory (principles, suggested questions, process structuring) with no explicit acceptance criteria, tests, or pass/fail thresholds in SKILL.md; quality is mainly judged by human usefulness and decision support. No failure modes (e.g., conflicting signals, missing references, bias detection escalation) or recovery procedures are specified.",0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,1,1,2,2,0,complete,partial,complete,2,2,3,,,"Provenance is limited to frontmatter name/description; no author/version/license in SKILL.md. Safety/limitations only indirectly implied via bias warnings (""Avoid pedigree shortcuts,"" ""Challenge their assumptions"") but no explicit risk, legal, or fairness guidance; coded conservatively.",3,0
RD01,competitor-profiling,research-and-analysis,end_to_end_process,end_to_end_process,multi_step_workflow,3,3,4,3,3,3,3,3,3,1,0,0,2,1,1,4,3,4,3,3,4,1,2,2,3,1,2,3,3,3,,,"The SKILL.md specifies a concrete end-to-end procedure (initial assessment questions, three research phases, raw-data persistence rules, and a fixed output structure) including a detailed directory layout and extraction tables per page type. It also provides strong supporting artefacts via referenced templates/tool references and an extensive markdown template, but still requires some analyst judgement for synthesis (e.g., interpreting positioning, strengths/weaknesses, and ""cross-reference claims"") and depends on specific tools and repo context files (Firecrawl, DataForSEO MCP, and optional product-marketing context files).",3,3,3,hybrid,hybrid,hybrid,2,2,2,0,0,0,2,1,1,1,1,1,1,1,1,,,"Outputs are partially checkable because the skill mandates structured markdown profiles, dated snapshots, and a ""Raw Data Sources"" section tied to persisted scrape/SEO/review files, enabling auditability of factual claims. However, there are no explicit tests or pass/fail acceptance criteria beyond general principles (e.g., ""Facts Over Opinions"" and labeling inferences), and little guidance on handling tool/API failures or missing pages beyond optionality (e.g., reviews are ""optional but high-value"").",0,0,1,1,1,1,1,1,1,2,2,3,1,0,2,0,0,0,3,1,2,complete,partial,complete,2,2,4,,,Requires Firecrawl and DataForSEO MCP tools (explicitly named) and a repo context file check (.agents/product-marketing.md etc.). Evaluation guidance is mostly qualitative; no concrete thresholds for what counts as sufficient evidence or completeness per section. Version present in frontmatter (2.0.0); updating guidance includes adding a Change Log section but no actual changelog included.,3,1
RD06,doublecheck,research-and-analysis,multi_step_workflow,multi_step_workflow,multi_step_workflow,3,3,4,4,3,3,2,2,2,2,2,1,1,0,1,4,3,4,3,1,4,2,2,1,1,0,1,3,3,4,,,"SKILL.md provides a highly explicit, stepwise three-layer procedure (Activation modes; Layer 1 claim extraction/consistency/confidence; Layer 2 web_search strategy; Layer 3 adversarial checklist) plus concrete templates for inline verification and the report, making the workflow readily executable. Tacit judgement is limited but present in source credibility assessment and deciding what is “common knowledge” vs needing search; portability is high with only a generic dependency on web search and an internal report template reference.",3,3,3,hybrid,hybrid,hybrid,3,2,3,0,0,0,3,1,3,2,1,2,2,1,2,,,"Outputs are structured and partially checkable: claims are enumerated with IDs, rated using a defined rating rubric (VERIFIED/PLAUSIBLE/UNVERIFIED/DISPUTED/FABRICATION RISK) and accompanied by URLs, enabling spot-checking, but correctness still depends on human review of sources and judgement of authority. No automated tests are specified; however, clear escalation rules (auto-escalate to full report on DISPUTED/FABRICATION RISK; always full report for legal/regulatory content) and a limitations disclosure provide some evaluative guardrails.",1,0,1,1,0,1,1,0,1,1,2,2,0,0,0,3,2,4,2,2,3,complete,partial,complete,2,2,4,,,Requires tool/service evidence: Layer 2 explicitly instructs using `web_search` (implies external search service). Persistent “active mode” implies state across conversation (requires_memory=1). Strong safety/limitations section and “not to tell the user what is true” plus limitations disclosure; scope limits via response-type classification and high-stakes auto/full-report rules. Provenance limited to frontmatter name/description; no author/version/license in SKILL.md.,2,1
SC05,firebase-security-rules-auditor,security-and-compliance,single_bounded_task,single_bounded_task,single_bounded_task,2,2,2,3,3,4,0,1,1,4,4,2,0,1,0,3,3,3,2,2,2,3,2,2,3,3,2,2,2,2,,,"SKILL.md provides a clear auditor role plus a concrete, enumerated checklist (e.g., create vs update bypass, authority source, type safety) and a required JSON output schema, which makes the core execution flow fairly explicit. However, applying items like “broken business logic” and judging whether a bypass exists requires security expertise and interpretation, and the skill is tied to Firestore Security Rules concepts (e.g., request.resource.data, request.auth.uid), reducing portability.",1,2,1,objective,objective,hybrid,3,3,2,0,0,0,3,2,3,0,2,0,2,2,1,,,"The artefact defines a 1–5 scoring rubric with anchored categories (critical→secure) and mandates a structured JSON response, giving clear acceptance structure and partial criteria. But there are no tests/validation procedures, and several checklist items depend on qualitative judgement (e.g., whether rules “support the app’s purpose”), so correctness is only partially verifiable.",0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1,3,1,2,2,1,complete,partial,complete,2,2,3,,,"Evidence is limited to SKILL.md: strong checklist + JSON schema; no explicit tooling, test harness, or failure-mode guidance. Safety/limitations are implicit via “Red Team Edition” framing and admin bootstrapping caveat, but no broader risk/disclaimer section.",2,2
SC07,openclaw-control-center,security-and-compliance,end_to_end_process,multi_step_workflow,end_to_end_process,3,3,3,1,1,2,3,4,4,3,2,2,1,1,1,4,2,4,4,1,4,1,3,2,4,4,3,3,1,3,,,"SKILL.md provides a concrete install/run procedure (clone, npm install/build/test/smoke/dev:ui), explicit environment flags with a meanings table, and detailed integration patterns plus TypeScript examples for connectors/UI sections, making the core workflow highly executable. However, it is tightly coupled to a specific OpenClaw local environment (requires running OpenClaw Gateway, reads ~/.openclaw, mentions subscription snapshot paths) and some operational judgement remains (e.g., configuring correct OPENCLAW_GATEWAY_URL/OPENCLAW_HOME, interpreting wiring status and risk signals).",3,3,4,hybrid,unclear,hybrid,3,1,2,2,0,3,3,0,2,3,0,3,3,0,3,,,"Evaluability is supported by explicit commands for validation (""npm test"" and ""npm run smoke:ui"") and troubleshooting checks (port conflict commands, wiring status, token auth curl example), but the artefact does not define clear acceptance thresholds for dashboard correctness beyond these checks. Many outcomes (e.g., ""risk signals"" and operational summaries) are only partially verifiable and likely require human interpretation, while some failure modes and recoveries are documented (token auth failures, approvals disabled/dry-run, missing runtime directory).",0,1,0,1,1,1,1,0,1,3,2,3,1,1,0,3,2,4,3,1,3,complete,partial,complete,1,1,3,,,"Requires Node/npm and a running OpenClaw Gateway plus local files under ~/.openclaw (external service dependency via OPENCLAW_GATEWAY_URL and local token). Strong safety/constraint language: readonly defaults, gated approvals, and 'Critical constraint: Only modify files inside control-center/; Never modify ~/.openclaw/openclaw.json'. Tests are referenced via npm scripts but actual coverage/criteria not visible in SKILL.md; thresholds for 'healthy/degraded/critical' etc. are shown as enums but not defined.",1,0
SD02,write-a-skill,software-development,multi_step_workflow,multi_step_workflow,multi_step_workflow,3,4,4,1,1,2,1,1,2,1,2,0,4,3,4,3,4,4,3,4,4,2,1,1,1,0,1,3,4,4,,,"SKILL.md provides a clear, ordered process (gather requirements → draft → review) plus concrete structural guidance (folder tree) and a ready-to-use SKILL.md template, making the know-how highly explicit and reusable. It also includes specific heuristics (e.g., split files when SKILL.md exceeds 100 lines; add scripts for deterministic ops) and a review checklist, reducing reliance on tacit judgement. Minor tacit/context dependence remains because “good” triggers/examples and what counts as “distinct domains” still require some judgement and adaptation to the user’s domain.",1,2,2,holistic,hybrid,objective,2,3,3,0,0,0,2,2,3,0,0,1,1,1,2,,,"Evaluation is supported via explicit acceptance criteria and checklists (e.g., description format rules, max 1024 chars, third person, two-sentence structure; SKILL.md under 100 lines; checklist items), making many outputs verifiable against stated constraints. However, there are no tests or validation scripts included, and error handling is only indirectly mentioned (scripts when “errors need explicit handling”) without concrete failure-mode procedures.",0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,1,1,2,complete,complete,complete,3,3,4,,,"Strong progressive-disclosure guidance (SKILL.md vs REFERENCE/EXAMPLES) and multiple concrete examples (good/bad description) plus numeric thresholds (1024 chars, 100 lines) support high codifiability/evaluability. Provenance limited to frontmatter name/description; no author/version/license info in SKILL.md.",4,1
SD08,typegpu,software-development,single_bounded_task,single_bounded_task,multi_step_workflow,3,3,4,1,1,1,3,2,3,2,3,0,0,0,1,3,3,4,3,2,4,3,3,2,4,4,3,2,2,3,,,"SKILL.md specifies a clear operational contract (sync GSAP timeline registration before any await; render from HyperFrames time; listen to `hf-seek`; guard for missing WebGPU; flush with `device.queue.onSubmittedWorkDone()`), and provides concrete code patterns for setup, rendering, and video-backed textures. However, successful use still assumes tacit WebGPU/TypeGPU competence (e.g., building pipelines/bind groups is left as a placeholder) and is tightly coupled to the HyperFrames runtime adapter/event model plus browser WebGPU availability.",3,2,3,holistic,unclear,none_visible,2,1,2,0,0,0,1,0,0,1,1,2,1,1,1,,,"The artefact provides deterministic-rendering guidance and some failure-mode notes (e.g., guard when `navigator.gpu`/adapter unavailable; try/catch around `copyExternalImageToTexture`; headless Chrome caveat and FFmpeg workaround), but it does not define tests, acceptance thresholds, or pass/fail criteria for visual correctness/performance. Outputs are only partially verifiable because correctness is largely visual/experiential despite some checkable constraints (e.g., rendering on `hf-seek`, avoiding `performance.now()`/`requestAnimationFrame`).",0,0,0,1,1,1,0,0,0,1,2,1,0,0,0,1,1,2,2,1,2,complete,partial,complete,1,2,3,,,"Requires specific environment: HyperFrames player semantics (`window.__hfTypegpuTime`, `hf-seek`), GSAP timelines, and browser WebGPU (`navigator.gpu`). No explicit provenance/author/version beyond frontmatter name/description. No explicit evaluation or test guidance; visual output quality likely needs human review.",2,0
SM04,content-engine,social-media-management,multi_step_workflow,multi_step_workflow,multi_step_workflow,2,3,4,3,2,2,1,3,2,2,2,0,0,0,1,3,3,3,2,2,2,3,2,3,2,0,1,2,3,2,,,"SKILL.md provides a fairly explicit end-to-end workflow (""Source-First Workflow"", ""Repurposing Flow"" steps 1–7, and a ""Quality Gate"") plus platform-specific adaptation rules, making the main flow executable. However, key steps require subjective judgement (e.g., ""rank them by sharpness, novelty, and proof"", ""sounds like the intended author"") and depend on having suitable source material/voice examples, which are not operationalised into concrete rubrics.",2,3,2,hybrid,hybrid,hybrid,2,2,2,0,0,0,2,2,1,0,0,0,1,1,1,,,"Evaluation guidance is present as a checklist-style ""Quality Gate"" (e.g., real claim/proof point, no hype language, no duplicated copy), but it lacks measurable thresholds and any test/validation procedure. Many criteria are inherently subjective (voice match, ""platform stereotype"" avoidance), so outputs are only partially verifiable.",0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,3,2,2,complete,partial,complete,2,2,3,,,"Provenance: YAML header includes name/description and origin: ECC, but no version/date/license. Scope limits inferred from ""When to Activate"" and ""Hard Bans"" plus guidance to use related skills (brand-voice/crosspost/x-api); no explicit escalation or failure-mode handling.",3,1
SM05,twitter-algorithm-optimizer,social-media-management,single_bounded_task,multi_step_workflow,single_bounded_task,2,3,3,4,3,4,1,1,1,1,2,1,0,0,1,3,3,3,3,3,4,3,2,3,3,2,2,2,3,3,,,"SKILL.md provides a clear, reusable optimization procedure (""How to Optimize Your Tweets"" Steps 1–4) plus extensive supporting explanations and examples tied to specific ranking concepts (Real-graph, SimClusters, TwHIN, Tweepcred) and multiple before/after rewrites. However, executing well still depends on tacit judgement about audience fit, niche/community language, and assessing ""blocks/reports risk"" and ""authenticity""—criteria that are not operationalized into deterministic rules. The guidance is moderately Twitter-context-bound (assumes Twitter/X ranking architecture and engagement signals), but does not require a specific org stack or repo context.",1,2,2,holistic,hybrid,holistic,1,2,1,0,0,0,0,2,0,0,1,1,0,1,1,,,"The artefact offers no tests, metrics, or acceptance thresholds for deciding whether an optimized tweet is ""better"" (no pass/fail criteria; only qualitative aims like ""maximize reach"" and ""avoid negative signals""). While it lists engagement signals and negatives, it does not specify measurable targets or validation steps (e.g., required predicted lift, engagement-rate bounds), so evaluation is primarily human/holistic review of the rewrite against the described heuristics.",0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,1,2,2,2,3,complete,partial,complete,2,2,3,,,"Provenance is present via frontmatter (name/description/license) but no author/version/date. Safety/limitations are partial: warns against harassment, misinformation, toxicity, engagement pods/bots, and notes ""Use Claude without this skill for"" non-algorithm writing; no explicit escalation process. No explicit requirement for external services/tools is stated; content is guidance-only.",2,1
UI01,frontend-design,ui-ux-design,single_bounded_task,multi_step_workflow,single_bounded_task,1,2,2,3,2,3,0,1,1,2,2,0,0,0,0,1,3,2,2,2,1,4,3,4,1,1,1,2,2,2,,,"SKILL.md provides high-level guidance (e.g., a pre-coding checklist for purpose/tone/constraints/differentiation and aesthetic guidelines for typography/color/motion/layout), but it does not specify a concrete step-by-step build process, required inputs/outputs, or decision rules beyond broad directives like “choose a clear conceptual direction” and “avoid generic AI slop.” Successful execution depends heavily on tacit design judgement and taste (e.g., what is “UNFORGETTABLE,” “visually striking,” “meticulously refined”), reducing codifiability despite being relatively portable across common frontend stacks (HTML/CSS/JS, React, Vue).",0,2,1,holistic,holistic,holistic,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,,,"Evaluation criteria are primarily aesthetic and subjective (e.g., “distinctive,” “memorable,” “avoid generic AI aesthetics”), with no tests, measurable acceptance thresholds, or validation procedures described in the artefact. While some aspects could be reviewed qualitatively (typography choices, palette cohesion), correctness is not deterministically verifiable from the provided guidance.",0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,1,1,1,complete,partial,complete,3,2,3,,,"Provenance is clear via frontmatter (name/description/license) but no version/author fields. Scope limits are implied mainly through negative guidance (e.g., “NEVER use generic…”) rather than explicit out-of-scope/escalation rules. No concrete deliverable format (files, component API, etc.) or evaluation harness is specified.",2,0
UI08,macos-design-guidelines,ui-ux-design,end_to_end_process,multi_step_workflow,end_to_end_process,4,3,2,1,1,2,1,1,1,4,4,1,2,3,4,4,3,4,4,3,4,2,2,1,3,3,2,3,2,3,,,"The artefact externalises macOS UI know-how as explicit, numbered rules across major UI surfaces (e.g., “Rule 1.1 — Provide Standard Menus”, “Rule 2.5 — Remember Window State”) and includes concrete SwiftUI/AppKit code snippets for implementation. It also provides extensive supporting material (shortcut tables, anti-patterns, and a detailed “Evaluation Checklist”), reducing reliance on tacit interpretation. Some context sensitivity remains because guidance is tightly tied to Apple’s macOS conventions and SwiftUI/AppKit APIs, but it is still broadly reusable for macOS app work.",2,2,2,hybrid,hybrid,hybrid,2,2,2,0,0,0,3,2,2,1,0,0,2,1,1,,,"Evaluation is supported via an explicit “Evaluation Checklist” with many concrete pass/fail items (e.g., menu bar present, windows resizable, Esc dismisses popovers), giving partial objective verifiability. However, there are no automated tests or validation scripts mentioned, and several outcomes (e.g., “looks and feel like they belong on the platform”, “only interrupt when truly necessary”) remain judgement-based, keeping verifiability and thresholds only moderate.",0,0,0,1,0,0,0,0,0,3,2,4,1,0,1,0,1,1,3,2,1,complete,partial,complete,2,2,4,,,"Strong provenance in frontmatter (author, version, license). No explicit maintenance/changelog beyond version. Safety/limitations appear mainly as normative cautions (e.g., notification spam, avoid custom chrome) rather than operational risk handling. No explicit out-of-scope/escalation rules; boundaries are implied via “if appropriate” phrasing in checklist and anti-patterns.",2,1
